seed,winner,turns,commands,damage,final_hash
1095,Blue,30,29,386,5c15a444b02c1bc43644336026b319a2b49ec91fe9d6bb6894a8b12d8ecb651b
1096,Blue,26,25,381,bca50afbb140f152d2f29e6f967a7c93530aa27018b26f0afb93f23db8715519
1097,Red,25,24,390,a06c8a43fea530e4a00cc97a03cbeb61dae28af0a89b8f4cf1c1aa963d639ed4
1098,Blue,32,31,369,1eb26382fe0f077f4fb07b113c7594186217ab62be51c1cbf75744c90834b687
1099,Red,27,26,348,090c6c1c6bb345c2f71a077c1babc54b1a11dd80ab3523d6446bfd54a5f72ae5
1100,Red,27,26,377,91e9c3daa620bee964501965907e8e14ffaebdb4df28d550f01e84e6b500e5d3
1101,Red,27,26,334,5977f9d3c883d04ca23288afa405e42827eae71bece481d3e2f88dc4bf0a6d25
1102,Blue,26,25,352,d683b1fbe579881df872336e062113839a4e2132b1ad07479e16ca5c293b82f2
1103,Blue,26,25,349,4edc4e412b88e81185e5cf8c16cce08a052dc57227acebd81cbdf66f4e33740e
1104,Blue,24,23,386,2c95f6539e965ceeefcc7dc48c7496145e0a33b95ad07cf244b2d5653f169ffa
1105,Blue,28,27,386,6b64c995e3d961150de0b53bb8dcfc8e4797a1aa51e65ff41ff5a5793e1fb2b6
1106,Red,23,22,334,124275092075b91ecd53b785b2ff5c0073852c5655044008d40b40b28dd7a374
1107,Blue,26,25,339,92bc9b37e62051955f527c8cf13466aad7650fe1521e263e693c240fb9419abd
1108,Blue,30,29,398,a89edf30b4cb8392bd27fc643be51c16cf14c561d6e20388fda6d2970d04807e
1109,Red,25,24,334,2f5a3b2d5adc5b2d5bbac90cf40931227a184b85923455619566c619324a3324
1110,Blue,32,31,391,0dd1089d1a371a214862e0f5c7afc1b5d493986f20776399cb6856aae3df7f9d
1111,Blue,24,23,385,dcdf0ad8308942560ffd23cbc27c9641eac0a8834f5ff477681ae1ea9d144933
1112,Red,35,34,377,369039cc2ef560f9e3e489ed4cf67612329b42886e1a4ad15f4657d057aebee8
1113,Red,23,22,327,636d5eb22b497f22e0d481e06bfb1de98fb862e8bd8c9c1d3fa7dc883141aff2
1114,Red,29,28,362,264511b7015780f94617c528a555689ad6187c3c50545a01cd76897f8afe6aef
1115,Red,31,30,397,e677630c5a08745362607c4b39bfd9d845a8b20009f8fa056d99934b1f37af52
1116,Blue,26,25,371,6db6ee2c3225ae97734f0b9cbb110bc940a229bb9e53230f19b0403f0055b09e
1117,Red,29,28,355,83b5df8e85e6566d6b217fb0a90f909db52d21eb9ba635202dc4a7c6974bffc9
1118,Blue,28,27,366,228c3f85c679e909b178232ad86cac90bf107578b95d6acbbd6434ac584ffc28
1119,Blue,30,29,389,a88f04cba1af05f67d20657b468ca32c98aa7d47c38575f85ff5dfd90671f298
1120,Red,25,24,368,2e313c57b505548526a330abe69b57dfbf9543a94f5fb4fe9cfdb072badfefbe
1121,Blue,34,33,388,ebdbf603ba9d1663f98e2107bed3cbe0c7ab15a173bf7df08af5b60e4455eff3
1122,Red,25,24,386,2041c0fc03d69c41f8cba358d36b377701db75c32a1470d10b6cfb68995dc925
1123,Red,23,22,301,9367d97fc102e1b4974d3a3734e6e4e2d974724ab925dfb34a42c79b7d43df5b
1124,Blue,30,29,352,0fa5c5acfc7a9dde45bfda0fbf0d4dc575ebd1c89128407b0ee0f2cd9e2e6bdd
1125,Red,27,26,367,63311f253af18319465dabd3ca3e11e709f5aca18c54ffd251febe00bfcdfde3
1126,Red,33,32,384,d7ffd769a09eec8fc11ec479c6d99371238f4a27029d299b20b83b1b7270f085
1127,Red,27,26,352,a42db68fe21185464998f0c5d81fd09d886d3dd51279eb26820e6ff9a932529e
1128,Blue,22,21,321,d6b5072bd8dbf16c93fc25ae1b522f905d14474a7f5befd4b6e5803e495abc51
1129,Blue,26,25,391,b94b613b803144400067cbeef309e59f70d040324ba5f499537098ec5a879a03
1130,Red,29,28,367,421da9b3b450d1d29ac025d7f88da222be18dabd788289a3f4aa3ec5b79b30eb
1131,Blue,30,29,387,79cd21caea8f2a2564d86d2f729ec68e8310e48d581b15d44c0499f2893570e2
1132,Blue,24,23,378,bcc1c664d92d229efe2cbe0c3569d525b0a0dd80809dcbcdc933a7f19a65745a
1133,Blue,30,29,334,2870eed1bb98751cea5f63c86873a80889059356aeadc46e427b285ebd7f52da
1134,Red,23,22,334,3eb337f62595a988cf267f76da8707b20cdf181711b5be5a914a2c90b94e5025
1135,Red,29,28,390,1af4d837a04c3e4b4f5c4e986678fe9c9e86c77b6e06845e76b370baba45e77a
1136,Blue,24,23,300,6c218e077982bd4904a8f53939ef55ea224d567500120b637bcc20ccf0dd94f7
1137,Blue,28,27,351,ddc206078ee6ab369552a58ef6f20fd1999fb94f8e069ce7e62b4a47a1c7d260
1138,Red,33,32,394,00f5cf06fb1e212eb366a396fd5208899d7bb1a9a3b7d0303735506018765a13
1139,Blue,22,21,356,74529ec6f084f32cd694989ba4be69163cdd47b5c6eccf28e1e5cabeaf5e9e74
1140,Red,33,32,375,759f1707af997943be043d1553af92d082d661b8291649b12cea0e8e218f9470
1141,Blue,28,27,337,5455d63b8f315c7164585e9dcffbd93ea147727491a93a68e63df00ab5c23819
1142,Blue,32,31,321,a2a4494ad3f12caef9265730bbfa58e3d0ef06394c618d5c8dada57cfe3c3625
1143,Red,31,30,390,2a32bffadb9315a32596ec0ef9d0f3e65e48bef1de28dca3293a0b856044c0f9
